variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
livskvalitet_d12,Very poor = 1 …. Excellent = 7;Livskvalitet_d12 = Energy,D,1 : 1529 ; 2 : 4522 ; 3 : 9547 ; 4 : 19115 ; 5 : 33889 ; 6 : 33751 ; 7 : 17526 ; missing values : 48451,1 : 507 ; 2 : 1717 ; 3 : 3870 ; 4 : 8255 ; 5 : 14885 ; 6 : 14514 ; 7 : 7215 ; missing values : 18027,N
livskvalitet_d13,Very poor = 1 …. Excellent = 7;Livskvalitet_d13 = Patience,D,1 : 682 ; 2 : 2573 ; 3 : 7033 ; 4 : 15527 ; 5 : 30004 ; 6 : 38992 ; 7 : 25119 ; missing values : 48400,1 : 220 ; 2 : 915 ; 3 : 2752 ; 4 : 6580 ; 5 : 13132 ; 6 : 17023 ; 7 : 10365 ; missing values : 18003,N
livskvalitet_d14,Very poor = 1 …. Excellent = 7;Livskvalitet_d14 = Confidence,D,1 : 837 ; 2 : 2245 ; 3 : 5397 ; 4 : 13479 ; 5 : 28351 ; 6 : 41576 ; 7 : 27962 ; missing values : 48483,1 : 256 ; 2 : 878 ; 3 : 2120 ; 4 : 5777 ; 5 : 12598 ; 6 : 17859 ; 7 : 11475 ; missing values : 18027,N
livskvalitet_d15,Very poor = 1 …. Excellent = 7;Livskvalitet_d15 = Sleep,D,1 : 2819 ; 2 : 6053 ; 3 : 10478 ; 4 : 15396 ; 5 : 22289 ; 6 : 28357 ; 7 : 34771 ; missing values : 48167,1 : 1065 ; 2 : 2398 ; 3 : 4292 ; 4 : 6343 ; 5 : 9420 ; 6 : 12110 ; 7 : 15432 ; missing values : 17930,N
livskvalitet_d16,Do you feel important and appreciated;;1 = Not at all …. 7 = Very much;;livskvalitet_d16 = outside your home?,D,1 : 878 ; 2 : 1478 ; 3 : 3502 ; 4 : 11524 ; 5 : 28267 ; 6 : 45158 ; 7 : 29203 ; missing values : 48320,1 : 245 ; 2 : 555 ; 3 : 1330 ; 4 : 4908 ; 5 : 12613 ; 6 : 19663 ; 7 : 11739 ; missing values : 17937,N
livskvalitet_d17,Do you feel important and appreciated;;1 = Not at all …. 7 = Very much;;livskvalitet_d16 = in your home?,D,1 : 691 ; 2 : 989 ; 3 : 2213 ; 4 : 6753 ; 5 : 14911 ; 6 : 36529 ; 7 : 56963 ; missing values : 49281,1 : 200 ; 2 : 335 ; 3 : 831 ; 4 : 2804 ; 5 : 6534 ; 6 : 16192 ; 7 : 23829 ; missing values : 18265,N
sockont,How many people do you know and have contact with; which have the same interests as you do?;1 = No one; 2 = 1-2 persons;3 = 3-5 persons; 4 = 6-10 persons;5 = 11-15 persons; 6 = > 15 persons,D,1 : 1714 ; 2 : 11990 ; 3 : 40681 ; 4 : 45987 ; 5 : 18598 ; 6 : 47127 ; missing values : 2233,1 : 446 ; 2 : 4185 ; 3 : 16423 ; 4 : 19577 ; 5 : 8102 ; 6 : 19697 ; missing values : 560,N
socsam,How many people; that you know; do you meet or talk with during a normal week?;1 = No one; 2 = 1-2 persons;3 = 3-5 persons; 4 = 6-10 persons;5 = 11-15 persons; 6 = > 15 persons,D,1 : 374 ; 2 : 7560 ; 3 : 29199 ; 4 : 39018 ; 5 : 23098 ; 6 : 62971 ; missing values : 6110,1 : 83 ; 2 : 2551 ; 3 : 11299 ; 4 : 16320 ; 5 : 9919 ; 6 : 28397 ; missing values : 421,N
soclago,Would you say that the number of people that you meet in your everyday life is enough? Would you like to meet more or fewer people?;1 = Fewer;2 = Sufficiently enough;3 = More,D,1 : 2367 ; 2 : 140343 ; 3 : 23712 ; missing values : 1908,1 : 900 ; 2 : 58360 ; 3 : 9286 ; missing values : 444,N
sochem,How many friends do you have; who can come to your home at any time and feel at home? (You would not care if the house was not clean or if you were eating. Do not count close relatives.);1 = No one; 2 = 1-2 persons;3 = 3-5 persons; 4 = 6-10 persons;5 = 11-15 persons; 6 = > 15 persons,D,1 : 4291 ; 2 : 20535 ; 3 : 55414 ; 4 : 47547 ; 5 : 15089 ; 6 : 18735 ; missing values : 6719,1 : 1351 ; 2 : 7614 ; 3 : 22980 ; 4 : 21203 ; 5 : 6865 ; 6 : 8344 ; missing values : 633,N
soctala,How people can you speak openly with without being careful about what you are saying?;1 = No one; 2 = 1-2 persons;3 = 3-5 persons; 4 = 6-10 persons;5 = 11-15 persons; 6 = > 15 persons,D,1 : 3079 ; 2 : 30897 ; 3 : 67130 ; 4 : 41697 ; 5 : 11573 ; 6 : 11940 ; missing values : 2014,1 : 981 ; 2 : 11525 ; 3 : 28001 ; 4 : 17951 ; 5 : 5051 ; 6 : 5025 ; missing values : 456,N
socstod,Is there someone in particular that you can really get support from?;1 = Yes;2 = Yes; but I do not need it;3 = No,D,1 : 139125 ; 2 : 20928 ; 3 : 6447 ; missing values : 1830,1 : 58670 ; 2 : 7522 ; 3 : 2402 ; missing values : 396,N
socnara,Is there a special person who feels that he or she is very close to you?;1 = Yes;2 = Not sure;3 = No,D,1 : 143299 ; 2 : 14776 ; 3 : 3891 ; missing values : 6364,1 : 61030 ; 2 : 6053 ; 3 : 1389 ; missing values : 518,N
soclyck,Do you have a special person who you can share your innermost feelings with when you are happy? Somebody who is happy because you are happy?;1 = Yes;2 = No,D,1 : 150068 ; 2 : 13162 ; missing values : 5100,1 : 63328 ; 2 : 4991 ; missing values : 671,N
socanfo,Do you have someone to share your innermost feelings with and confide in?;1 = Yes;2 = No,D,1 : 153362 ; 2 : 12323 ; missing values : 2645,1 : 63744 ; 2 : 4599 ; missing values : 647,N
soctrost,Does it happen sometimes that someone hugs you to comfort and support you?;1 = Yes;2 = No,D,1 : 133897 ; 2 : 26914 ; missing values : 7519,1 : 57479 ; 2 : 10656 ; missing values : 855,N
socupps,Do you think that the ones at home or others appreciate what you do?;1 = Yes;2 = Not enough;3 = No; not at all,D,1 : 150602 ; 2 : 12918 ; 3 : 2017 ; missing values : 2793,1 : 62538 ; 2 : 5181 ; 3 : 590 ; missing values : 681,N
soclana,Are there people around you who you easily can ask for favors from; e.g. borrowing tools or kitchen utensils?;1 = Yes;2 = No,D,1 : 157800 ; 2 : 4303 ; missing values : 6227,1 : 67189 ; 2 : 1345 ; missing values : 456,N
sochelp,Apart from the ones at home; is there anyone you can turn to when you are in trouble?;1 = Yes;2 = No,D,1 : 147566 ; 2 : 18163 ; missing values : 2601,1 : 61551 ; 2 : 6821 ; missing values : 618,N
socdelta,Have you; during the last year; participated in any association; voluntary organization etc. together with other people (e.g. sports; study circle; theatre group; choir; political group)?;1 = Yes;2 = No,D,1 : 96768 ; 2 : 64165 ; missing values : 7397,1 : 43165 ; 2 : 25110 ; missing values : 715,N
socofta,How often do you engage in clubs; associations; study circles etc. together with others?;1 = 1-2 times per year; 2 = 1-2 times per month;3 = 1-2 times per week; 4 = Every day; 5 = Unknown,D,1 : 20044 ; 2 : 33115 ; 3 : 46087 ; 4 : 2858 ; 5 : 9991 ; missing values : 56235,1 : 7862 ; 2 : 14292 ; 3 : 20355 ; 4 : 1074 ; 5 : 3340 ; missing values : 22067,N
socforening_a,What associations etc. do you participate in?;socforening_a = Sports; physical exercise,D,1 : 30176 ; missing values : 138154,1 : 12238 ; missing values : 56752,N
socforening_b,What associations etc. do you participate in?;socforening_b = Study circle,D,1 : 7379 ; missing values : 160951,1 : 3380 ; missing values : 65610,N
socforening_c,What associations etc. do you participate in?;socforening_c = Theatre group,D,1 : 389 ; missing values : 167941,1 : 177 ; missing values : 68813,N
socforening_d,What associations etc. do you participate in?;socforening_d = Choir,D,1 : 3740 ; missing values : 164590,1 : 1704 ; missing values : 67286,N
socforening_e,What associations etc. do you participate in?;socforening_e = Other association,D,1 : 23539 ; missing values : 144791,1 : 10245 ; missing values : 58745,N
arbfys,Is your job physically heavy?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 22609 ; 2 : 54465 ; 3 : 37450 ; 4 : 48340 ; missing values : 5466,1 : 8959 ; 2 : 22432 ; 3 : 15842 ; 4 : 20568 ; missing values : 1189,N
arbfort,Does your job demand you to work very fast?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 30416 ; 2 : 89218 ; 3 : 32500 ; 4 : 10449 ; missing values : 5747,1 : 12857 ; 2 : 38222 ; 3 : 12976 ; 4 : 3593 ; missing values : 1342,N
arbpsyk,Is your job mentally demanding?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 26087 ; 2 : 77602 ; 3 : 39212 ; 4 : 17947 ; missing values : 7482,1 : 11348 ; 2 : 33337 ; 3 : 15934 ; 4 : 6523 ; missing values : 1848,N
arbhin,Do you have enough time for your assignments?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 65606 ; 2 : 61753 ; 3 : 28527 ; 4 : 5894 ; missing values : 6550,1 : 25709 ; 2 : 26613 ; 3 : 12679 ; 4 : 2367 ; missing values : 1622,N
arbkrav,Are there contradictory demands in your job?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 15084 ; 2 : 62240 ; 3 : 57750 ; 4 : 25989 ; missing values : 7267,1 : 6481 ; 2 : 26905 ; 3 : 23944 ; 4 : 9848 ; missing values : 1812,N
arbnytt,Do you get to learn new things in your job?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 52647 ; 2 : 84875 ; 3 : 19243 ; 4 : 5250 ; missing values : 6315,1 : 21825 ; 2 : 36322 ; 3 : 7640 ; 4 : 1722 ; missing values : 1481,N
arbski,Does your job demand skill?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 80199 ; 2 : 68192 ; 3 : 10503 ; 4 : 2801 ; missing values : 6635,1 : 33448 ; 2 : 28983 ; 3 : 4149 ; 4 : 864 ; missing values : 1546,N
arbide,Does your job require ingenuity or creativity?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 72838 ; 2 : 71568 ; 3 : 13851 ; 4 : 3113 ; missing values : 6960,1 : 30734 ; 2 : 30073 ; 3 : 5481 ; 4 : 1029 ; missing values : 1673,N
arbrut,Does your job mean doing the same things over and over again?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 66237 ; 2 : 59081 ; 3 : 31293 ; 4 : 5554 ; missing values : 6165,1 : 26693 ; 2 : 25131 ; 3 : 13503 ; 4 : 2207 ; missing values : 1456,N
arbhur,Do you have control over how your workday is planned and executed?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 91447 ; 2 : 54173 ; 3 : 13392 ; 4 : 3487 ; missing values : 5831,1 : 38277 ; 2 : 22734 ; 3 : 5387 ; 4 : 1258 ; missing values : 1334,N
arbvad,Do you have control over your own work assignment?;1 = Yes often; 2 = Yes sometimes;3 = No rarely; 4 = No as good as never,D,1 : 59935 ; 2 : 61988 ; 3 : 31227 ; 4 : 9306 ; missing values : 5874,1 : 24388 ; 2 : 26445 ; 3 : 13191 ; 4 : 3599 ; missing values : 1367,N
arbtala,Is it usually possible for you to speak with your colleagues during breaks ; if you want to?;1 = Yes; always; 2 = Yes; most of the time;3 = No; I do not have breaks; 4 = No; I do not have breaks with colleagues,D,1 : 75473 ; 2 : 55460 ; 3 : 3504 ; 4 : 18020 ; missing values : 15873,1 : 33860 ; 2 : 24753 ; 3 : 1524 ; 4 : 7188 ; missing values : 1665,N
arblamna,Is it possible for you to leave your work for a while if you want to speak with a colleague?;1 = Yes; most of the time; 2 = Yes; sometimes;3 = Only for urgent matters; 4 = No; it is totally impossible,D,1 : 82419 ; 2 : 45359 ; 3 : 14883 ; 4 : 8481 ; missing values : 17188,1 : 36374 ; 2 : 20167 ; 3 : 6781 ; 4 : 3609 ; missing values : 2059,N
arbkontakt,Do you; as a part of your work; have a lot of contacts with your colleagues?;1 = Yes; a lot; 2 = One or a few times per month;3 = No; I mostly work alone; 4 = Seldom or never,D,1 : 124629 ; 2 : 6434 ; 3 : 14307 ; 4 : 5515 ; missing values : 17445,1 : 56185 ; 2 : 2667 ; 3 : 5917 ; 4 : 2099 ; missing values : 2122,N
arbfritid,How often do you spend leisure time together with one or more of your colleagues?;1 = One or more times per week; 2 = One or more times per week;3 = One or more times per year; 4 = Seldom or never,D,1 : 15154 ; 2 : 36631 ; 3 : 55490 ; 4 : 41024 ; missing values : 20031,1 : 6427 ; 2 : 16648 ; 3 : 25747 ; 4 : 16964 ; missing values : 3204,N
arbbesok,When was the last time a colleague visited you at home?;1 = One to four weeks ago;2 = One to twelve months ago;3 = More than a year ago;4 = I have never been visited by a colleague ,D,1 : 58729 ; 2 : 48047 ; 3 : 24039 ; 4 : 19528 ; missing values : 17987,1 : 26501 ; 2 : 22412 ; 3 : 10311 ; 4 : 7395 ; missing values : 2371,N
g1_a,Indicate in the table below the way you usually travel to and from work for each season;Spring; g1_a;1 = By car; 2 = By bus;3 = Walking; 4 = By bicycle,D,1 : 83890 ; 2 : 6410 ; 3 : 18985 ; 4 : 39046 ; missing values : 19999,1 : 36184 ; 2 : 2636 ; 3 : 7853 ; 4 : 17547 ; missing values : 4770,N
g1_b,Indicate in the table below the way you usually travel to and from work for each season;Summer; g1_b;1 = By car; 2 = By bus;3 = Walking; 4 = By bicycle,D,1 : 75690 ; 2 : 4575 ; 3 : 13946 ; 4 : 52980 ; missing values : 21139,1 : 32610 ; 2 : 1849 ; 3 : 5528 ; 4 : 23697 ; missing values : 5306,N
g1_c,Indicate in the table below the way you usually travel to and from work for each season;Autumn; g1_c;1 = By car; 2 = By bus;3 = Walking; 4 = By bicycle,D,1 : 87050 ; 2 : 7123 ; 3 : 17641 ; 4 : 36026 ; missing values : 20490,1 : 37634 ; 2 : 2928 ; 3 : 7243 ; 4 : 16262 ; missing values : 4923,N
g1_d,Indicate in the table below the way you usually travel to and from work for each season;Winter; g1_d;1 = By car; 2 = By bus;3 = Walking; 4 = By bicycle,D,1 : 94852 ; 2 : 11112 ; 3 : 28008 ; 4 : 14122 ; missing values : 20236,1 : 40902 ; 2 : 4687 ; 3 : 12277 ; 4 : 6256 ; missing values : 4868,N
antal_km,Distance to work in kilometers (one way),C,mean : 1852.67 ; min : 0 ; max : 10000 ; sd : 3833.02; missing values : 0,mean : 13.75 , min : 0 , max : 710 , sd : 18.11, missing values : 9422,N
g2_a,Indicate the alternative that best describes your work;g2_a = Sedentary or standing,D,1 : 42357 ; missing values : 125973,1 : 18014 ; missing values : 50976,N
g2_b,Indicate the alternative that best describes your work;g2_b = Light but partly physically active,D,1 : 28849 ; missing values : 139481,1 : 12703 ; missing values : 56287,N
g2_c,Indicate the alternative that best describes your work;g2_c = Light and physically active,D,1 : 36154 ; missing values : 132176,1 : 16039 ; missing values : 52951,N
g2_d,Indicate the alternative that best describes your work;g2_d = Sometimes physically straining,D,1 : 43790 ; missing values : 124540,1 : 18859 ; missing values : 50131,N
g2_e,Indicate the alternative that best describes your work;g2_e = Physically straining most of the time,D,1 : 9635 ; missing values : 158695,1 : 3857 ; missing values : 65133,N
g3_a,How often do you take a walk during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 6867 ; 1 : 21316 ; 2 : 30101 ; 3 : 59185 ; 4 : 37493 ; missing values : 13368,0 : 2576 ; 1 : 9335 ; 2 : 13325 ; 3 : 25945 ; 4 : 15164 ; missing values : 2645,N
g3_b,How often do you ride a bike during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 29239 ; 1 : 31854 ; 2 : 22839 ; 3 : 29076 ; 4 : 17191 ; missing values : 38131,0 : 11581 ; 1 : 14570 ; 2 : 10464 ; 3 : 12577 ; 4 : 7345 ; missing values : 12453,N
g3_c,How often do you dance during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 49155 ; 1 : 22233 ; 2 : 5646 ; 3 : 1905 ; 4 : 22 ; missing values : 89369,0 : 25546 ; 1 : 12791 ; 2 : 2757 ; 3 : 964 ; 4 : 7 ; missing values : 26925,N
g3_d,How often do you shovel snow during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 12705 ; 1 : 18692 ; 2 : 22413 ; 3 : 27397 ; 4 : 5232 ; missing values : 81891,0 : 5415 ; 1 : 10415 ; 2 : 12562 ; 3 : 14558 ; 4 : 2311 ; missing values : 23729,N
g3_e,How often do you engage in gardening during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 10052 ; 1 : 16097 ; 2 : 21651 ; 3 : 33939 ; 4 : 4740 ; missing values : 81851,0 : 4235 ; 1 : 8833 ; 2 : 12043 ; 3 : 17927 ; 4 : 2132 ; missing values : 23820,N
g3_f,How often do you hunt or fish during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 32197 ; 1 : 23458 ; 2 : 18062 ; 3 : 8981 ; 4 : 559 ; missing values : 85073,0 : 16952 ; 1 : 13380 ; 2 : 9167 ; 3 : 4151 ; 4 : 216 ; missing values : 25124,N
g3_g,How often do you pick berries or mushrooms during leisure time?;0 = Never; 1 = 1-2 times a month;2 = 3-4 times a month; 3 = 2-3 times a week;4 = Every day,D,0 : 13877 ; 1 : 32424 ; 2 : 23252 ; 3 : 15176 ; 4 : 1755 ; missing values : 81846,0 : 7214 ; 1 : 18675 ; 2 : 11749 ; 3 : 6671 ; 4 : 621 ; missing values : 24060,N
g4,Have you changed your ”everyday exercise” during the last year?;1 = Decreased a lot; 2 = Decreased somewhat;3 = As before; 4 = Increased somewhat;5 = Increased a lot,D,1 : 6666 ; 2 : 16815 ; 3 : 50667 ; 4 : 16274 ; 5 : 2754 ; missing values : 75154,1 : 3188 ; 2 : 8469 ; 3 : 25657 ; 4 : 8744 ; 5 : 1435 ; missing values : 21497,N
g5,”The everyday exercise I get satisfies my need to move”. Is this assertion true for you?;1 = Not at all; 2 = Rather poorly;3 = Partly; 4 = Completely,D,1 : 11037 ; 2 : 18538 ; 3 : 44849 ; 4 : 18323 ; missing values : 75583,1 : 5962 ; 2 : 10170 ; 3 : 22902 ; 4 : 8311 ; missing values : 21645,N
g6,How often have you been training or exercising in exercise outfit during the last three months with the purpose to enhance your condition and/or to feel good?;1 = Never; 2 = Every now and then – not regularly;3 = 1-2 times/week; 4 = 2-3 times/week;5 = More than 3 times/week,D,1 : 62513 ; 2 : 38059 ; 3 : 24657 ; 4 : 23667 ; 5 : 10780 ; missing values : 8654,1 : 26518 ; 2 : 16219 ; 3 : 11491 ; 4 : 9834 ; 5 : 3992 ; missing values : 936,Y
g7,If you exercise – have you changed your exercising habits during the last year?;1 = Decreased a lot; 2 = Decreased somewhat;3 = As before; 4 = Increased somewhat;5 = Increased a lot,D,1 : 7694 ; 2 : 14553 ; 3 : 41944 ; 4 : 12771 ; 5 : 2257 ; missing values : 89111,1 : 3888 ; 2 : 7423 ; 3 : 21686 ; 4 : 7027 ; 5 : 1236 ; missing values : 27730,N
g8,How physically active were you before you turned 20?;1 = Freed from school gymnastics; 2 = Participated only in school gymnastics;3 = Trained without competing; 4 = Participated in both training and competitions (not on an competitive level);5 = Trained and participated in competitive athletics; Numbers with two or more digits indicate combined options. ,D,1 : 857 ; 2 : 35238 ; 3 : 25667 ; 4 : 26421 ; 5 : 3703 ; 31 : 2 ; 32 : 20 ; 41 : 1 ; 42 : 10 ; 43 : 6 ; 54 : 1 ; 432 : 1 ; missing values : 76403,1 : 353 ; 2 : 18216 ; 3 : 12956 ; 4 : 13689 ; 5 : 1894 ; 32 : 3 ; 42 : 6 ; 43 : 2 ; missing values : 21871,N
g9,How much have you exerted yourself physically during the last 12 months?If your activity level varies between e.g. summer and winter; try to take an average.;1 = Sedentary leisure time. You engage mostly in reading; watching TV; cinema or other sedentary activities in your leisure time. You walk; bike; or move otherwise less than two hours a week.;2 = Moderate exercise in leisure time.You walk; bike or move otherwise in at least 2 hours a week; mostly without sweating. Included are e.g. walking or biking to and from work; other walking; heavier household work; ordinary gardening; fishing; table tennis; bowling.;3 = Moderate; regular exercise in leisure time. You exercise regularly 1-2 times a week; at least 30 minutes each time. E.g. running; swimming; tennis; badminton or other activity that makes you sweat.;4 = Regular exerciseYou engage in running; swimming; tennis; badminton; keep-fit exercises or similar activities in at an average at least three times a week. Each time lasts at least 30 minutes. ,D,1 : 6252 ; 2 : 33344 ; 3 : 18564 ; 4 : 10527 ; missing values : 99643,1 : 1629 ; 2 : 10880 ; 3 : 5680 ; 4 : 2982 ; missing values : 47819,N
g10,How much time do you spend in an ordinary week in moderately strenuous activities making you feel warm? (e.g. brisk walks; gardening; heavier household work; biking; swimming. It may vary during the year; but try to take an average.);1 = 5 hours per week or more; 2 = More than 3 hours; but less than 5 hours per week;3 = 1-3 hours per week; 4 = Not more than 1 hour per week;5 = No time at all; 6 = Do not know/can not answer,D,1 : 15936 ; 2 : 18118 ; 3 : 23052 ; 4 : 7274 ; 5 : 1855 ; 6 : 2495 ; missing values : 99600,1 : 4935 ; 2 : 5689 ; 3 : 7266 ; 4 : 2162 ; 5 : 520 ; 6 : 608 ; missing values : 47810,N
g11a_h,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Hours weekdays; g11a_h,C,mean : 8.54 ; min : 0 ; max : 99 ; sd : 8.18; missing values : 149364,mean : 8.21 , min : 0 , max : 90 , sd : 7.56, missing values : 65899,N
g11a_m,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Minutes weekdays; g11a_m,C,mean : 11.99 ; min : 0 ; max : 60 ; sd : 14.94; missing values : 164021,0 : 364 ; 1 : 3 ; 3 : 1 ; 5 : 2 ; 7 : 1 ; 10 : 10 ; 13 : 1 ; 15 : 6 ; 20 : 11 ; 25 : 1 ; 30 : 204 ; 33 : 2 ; 35 : 1 ; 40 : 7 ; 45 : 8 ; 50 : 1 ; 60 : 1 ; missing values : 68366,N
g11a_ej,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Do not know weekdays; g 11a_ej,D,1 : 8141 ; missing values : 160189,1 : 1346 ; missing values : 67644,N
g11b_h,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Hours weekends and holidays; g11b_h,C,mean : 6.17 ; min : 0 ; max : 70 ; sd : 3.51; missing values : 150031,mean : 6.14 , min : 0 , max : 50 , sd : 3.3, missing values : 66007,N
g11b_m,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Minutes weekends and holidays; g11b_m,C,mean : 8 ; min : 0 ; max : 90 ; sd : 13.45; missing values : 164607,0 : 391 ; 1 : 3 ; 2 : 1 ; 3 : 2 ; 5 : 1 ; 7 : 1 ; 10 : 9 ; 11 : 1 ; 12 : 1 ; 15 : 1 ; 20 : 3 ; 21 : 1 ; 30 : 118 ; 40 : 5 ; 45 : 1 ; 50 : 3 ; 60 : 1 ; missing values : 68447,N
g11b_ej,How much time have you; each day during the last 7 days; spent sitting during work; studies and transportation; at home and during your leisure time?;Try to estimate an average amount of hours sitting; e.g. at a desk; at a friend´s house; riding in a car or a bus; sitting eating or talking; in front of the computer; watching a film or TV.;Do not know weekends and holidays; g11b_ej,C,1 : 8597 ; missing values : 159733,1 : 1415 ; missing values : 67575,N
motion,How much do you exercise in your leisure time?;0 = Virtually nothing; 1 = Every now and then;2 = Regularly about once a week; 3 = Regularly about twice a week ;4 = Regularly quite physically straining at least twice a week,D,0 : 233 ; 1 : 976 ; 2 : 433 ; 3 : 551 ; 4 : 205 ; missing values : 165932,missing values : 68990,N
motion2,How often do you exercise?;1 = Never; 2 = 1-2 times/month;3 = 1 time/week; 4 = 2-3 times/week;5 = 4 or more times/week,D,1 : 233 ; 2 : 293 ; 3 : 609 ; 4 : 706 ; 5 : 231 ; missing values : 166258,missing values : 68990,N
sleep_h7a,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7a  Sitting and reading;1 = None; 2 = Little;3 = Moderate; 4 = Big;,D,1 : 32084 ; 2 : 20925 ; 3 : 11201 ; 4 : 3512 ; missing values : 100608,1 : 9657 ; 2 : 6529 ; 3 : 3579 ; 4 : 1032 ; missing values : 48193,N
sleep_h7b,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;;sleep_h7b  Watching TV;(same alternatives as above),D,1 : 12268 ; 2 : 22848 ; 3 : 22122 ; 4 : 11099 ; missing values : 99993,1 : 3353 ; 2 : 6729 ; 3 : 7126 ; 4 : 3805 ; missing values : 47977,N
sleep_h7c,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7c  Sitting inactive in a public place (e.g. theatre or a meeting);(same alternatives as above);,D,1 : 40732 ; 2 : 19727 ; 3 : 6132 ; 4 : 1248 ; missing values : 100491,1 : 11988 ; 2 : 6437 ; 3 : 2074 ; 4 : 392 ; missing values : 48099,N
sleep_h7d,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7d  As a passenger in a car for one hour without break.;(same alternatives as above),D,1 : 27954 ; 2 : 21113 ; 3 : 12289 ; 4 : 6174 ; missing values : 100800,1 : 8607 ; 2 : 6449 ; 3 : 3867 ; 4 : 1884 ; missing values : 48183,N
sleep_h7e,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7e  Lying down resting in the afternoon if conditions permit.;(same alternatives as above);,D,1 : 6744 ; 2 : 14338 ; 3 : 21221 ; 4 : 25720 ; missing values : 100307,1 : 1930 ; 2 : 4315 ; 3 : 6557 ; 4 : 8130 ; missing values : 48058,N
sleep_h7f,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;;,D,1 : 63455 ; 2 : 3693 ; 3 : 650 ; 4 : 151 ; missing values : 100381,1 : 19527 ; 2 : 1191 ; 3 : 170 ; 4 : 36 ; missing values : 48066,N
